Date,Open,High,Low,Close,Volume,Max Drawdown,Porfolio Return,Profit,Gross Profit,Average Trade Win,Gross Loss,Average Trade Loss,,,,
25-05-2018,7592.299805,7659.140137,7392.649902,7480.140137,4867829760,3.479375364,-0.01412876,-112.159668,0,,-112.159668,,,266.490235,,
26-05-2018,7486.47998,7595.160156,7349.120117,7355.879883,4051539968,3.239431874,-0.016612022,-130.600097,0,,-130.600097,,,246.040039,,
27-05-2018,7362.080078,7381.740234,7270.959961,7368.220215,4056519936,1.500733831,0.001677615,6.140137,6.140137,,0,,,110.780273,,
28-05-2018,7371.310059,7419.049805,7100.890137,7135.990234,5040600064,4.288415314,-0.031517785,-235.319825,0,,-235.319825,,,318.159668,,
29-05-2018,7129.459961,7526.419922,7090.680176,7472.589844,5662660096,5.789468971,0.047169292,343.129883,343.129883,,0,,,435.739746,,
30-05-2018,7469.72998,7573.77002,7313.600098,7406.52002,4922540032,3.435144206,-0.008841623,-63.20996,0,,-63.20996,,,260.169922,,
31-05-2018,7406.149902,7608.899902,7361.129883,7494.169922,5127130112,3.256318551,0.011834154,88.02002,88.02002,,0,,,247.770019,,
01-06-2018,7500.700195,7604.72998,7407.339844,7541.450195,4921460224,2.595623204,0.006308941,40.75,40.75,,0,,,197.390136,,
02-06-2018,7536.720215,7695.830078,7497.259766,7643.450195,4939299840,2.580232541,0.01352525,106.72998,106.72998,,0,,,198.570312,,
03-06-2018,7632.089844,7754.890137,7613.040039,7720.25,4851760128,1.829169666,0.010047793,88.160156,88.160156,,0,,,141.850098,,
04-06-2018,7722.529785,7753.819824,7474.040039,7514.470215,4993169920,3.608283289,-0.026654549,-208.05957,0,,-208.05957,,,279.779785,,
05-06-2018,7500.899902,7643.22998,7397,7633.759766,4961739776,3.221543518,0.015874646,132.859864,132.859864,,0,,,246.22998,,
06-06-2018,7625.970215,7680.430176,7502.009766,7653.97998,4692259840,2.323052302,0.002648788,28.009765,28.009765,,0,,,178.42041,,
07-06-2018,7650.819824,7741.27002,7650.819824,7678.240234,4485799936,1.168415464,0.003169626,27.42041,27.42041,,0,,,90.450196,,
08-06-2018,7685.140137,7698.189941,7558.399902,7624.919922,4227579904,1.815881916,-0.00694434,-60.220215,0,,-60.220215,,,139.790039,,
09-06-2018,7632.52002,7683.580078,7531.97998,7531.97998,3845220096,1.973039865,-0.012188973,-100.54004,0,,-100.54004,,,151.600098,,
10-06-2018,7499.549805,7499.549805,6709.069824,6786.02002,5804839936,10.54036578,-0.099039026,-713.529785,0,,-713.529785,,,790.479981,,
11-06-2018,6799.290039,6910.180176,6706.629883,6906.919922,4745269760,2.945658258,0.017816025,107.629883,107.629883,,0,,,203.550293,,
12-06-2018,6905.819824,6907.959961,6542.080078,6582.359863,4654380032,5.296496868,-0.046990563,-323.459961,0,,-323.459961,,,365.879883,,
13-06-2018,6596.879883,6631.660156,6285.629883,6349.899902,5052349952,5.217852919,-0.035315596,-246.979981,0,,-246.979981,,,346.030273,,
14-06-2018,6342.75,6707.140137,6334.459961,6675.350098,5138710016,5.556469201,0.051252807,332.600098,332.600098,,0,,,372.680176,,
15-06-2018,6674.080078,6681.080078,6433.870117,6456.580078,3955389952,3.700149648,-0.032772816,-217.5,0,,-217.5,,,247.209961,,
16-06-2018,6455.450195,6592.490234,6402.290039,6550.160156,3194170112,2.885103933,0.014493753,94.709961,94.709961,,0,,,190.200195,,
17-06-2018,6545.529785,6589.109863,6499.27002,6499.27002,3104019968,1.363459479,-0.007769296,-46.259765,0,,-46.259765,,,89.839843,,
18-06-2018,6510.069824,6781.140137,6446.680176,6734.819824,4039200000,4.932208364,0.036242502,224.75,224.75,,0,,,334.459961,,
19-06-2018,6742.390137,6822.5,6709.919922,6769.939941,4057029888,1.650129395,0.005214708,27.549804,27.549804,,0,,,112.580078,,
20-06-2018,6770.759766,6821.560059,6611.879883,6776.549805,3888640000,3.073786263,0.000976355,5.790039,5.790039,,0,,,209.680176,,
21-06-2018,6780.089844,6810.939941,6715.169922,6729.740234,3529129984,1.406120445,-0.006907582,-50.34961,0,,-50.34961,,,95.770019,,
22-06-2018,6737.879883,6747.080078,6006.600098,6083.689941,5079810048,10.97482128,-0.095999291,-654.189942,0,,-654.189942,,,740.47998,,
23-06-2018,6090.100098,6224.819824,6071.810059,6162.47998,3431360000,2.458059339,0.012951028,72.379882,72.379882,,0,,,153.009765,,
24-06-2018,6164.279785,6223.779785,5826.410156,6173.22998,4566909952,6.384699374,0.001744428,8.950195,8.950195,,0,,,397.369629,,
25-06-2018,6171.970215,6327.370117,6119.680176,6249.180176,5500810240,3.282405441,0.012303153,77.209961,77.209961,,0,,,207.689941,,
26-06-2018,6253.549805,6290.160156,6093.669922,6093.669922,3279759872,3.123771559,-0.024884905,-159.879883,0,,-159.879883,,,196.490234,,
27-06-2018,6084.399902,6180,6052.850098,6157.129883,3296219904,2.05744178,0.010414079,72.729981,72.729981,,0,,,127.149902,,
28-06-2018,6153.160156,6170.410156,5873.049805,5903.439941,3467800064,4.819134279,-0.04120263,-249.720215,0,,-249.720215,,,297.360351,,
29-06-2018,5898.129883,6261.660156,5835.75,6218.299805,3966230016,6.801872752,0.053334982,320.169922,320.169922,,0,,,425.910156,,
30-06-2018,6214.220215,6465.509766,6214.220215,6404,4543860224,3.886616216,0.0298635,189.779785,189.779785,,0,,,251.289551,,
01-07-2018,6411.680176,6432.850098,6289.290039,6385.819824,4788259840,2.231671138,-0.002838878,-25.860352,0,,-25.860352,,,143.560059,,
02-07-2018,6380.379883,6683.859863,6305.700195,6614.180176,4396930048,5.657803661,0.035760538,233.800293,233.800293,,0,,,378.159668,,
03-07-2018,6596.660156,6671.370117,6447.75,6529.589844,4672309760,3.351936905,-0.012789239,-67.070312,0,,-67.070312,,,223.620117,,
04-07-2018,6550.870117,6771.919922,6450.459961,6597.549805,4176689920,4.746954552,0.010407998,46.679688,46.679688,,0,,,321.459961,,
05-07-2018,6599.709961,6749.540039,6546.649902,6639.140137,4999240192,3.005984642,0.006303906,39.430176,39.430176,,0,,,202.890137,,
06-07-2018,6638.689941,6700.939941,6533.549805,6673.5,4313959936,2.498009794,0.005175348,34.810059,34.810059,,0,,,167.390136,,
07-07-2018,6668.709961,6863.990234,6579.240234,6856.930176,3961080064,4.148461613,0.027486353,188.220215,188.220215,,0,,,284.75,,
08-07-2018,6857.799805,6885.910156,6747.97998,6773.879883,3386210048,2.003078357,-0.012111877,-83.919922,0,,-83.919922,,,137.930176,,
09-07-2018,6775.080078,6838.680176,6724.339844,6741.75,3718129920,1.671964898,-0.004743202,-33.330078,0,,-33.330078,,,114.340332,,
10-07-2018,6739.209961,6767.740234,6320.720215,6329.950195,4052430080,6.605159234,-0.061082034,-409.259766,0,,-409.259766,,,447.020019,,
11-07-2018,6330.77002,6444.959961,6330.470215,6394.709961,3644859904,1.776422921,0.010230691,63.939941,63.939941,,0,,,114.489746,,
12-07-2018,6396.779785,6397.100098,6136.419922,6228.810059,3770170112,4.07497416,-0.025943304,-167.969726,0,,-167.969726,,,260.680176,,
